"Município";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"110001 ALTA FLORESTA D\'OESTE";"99,72";"92,09";"102,26";"107,34";"145,76";"145,76";"161,02";"152,82";"50,26";"101,41";"97,74";"172,32";"106,78";"90,68";"136,44";"99,15";"75,42";"44,56";"63,28";"31,67";"98,83";"103,24"
"110002 ARIQUEMES";"98,20";"105,45";"95,13";"99,13";"97,68";"97,68";"106,67";"105,97";"68,66";"82,13";"81,67";"106,44";"86,48";"73,84";"103,94";"80,63";"75,75";"62,17";"55,39";"70,73";"96,96";"88,36"
"110003 CABIXI";"17,91";"29,85";"164,18";"185,07";"170,15";"170,15";"170,15";"170,15";"142,39";"182,09";"185,07";"171,64";"182,09";"176,12";"180,60";"165,67";"159,70";"101,09";"129,85";"104,00";"148,00";"146,78"
"110004 CACOAL";"109,09";"111,29";"86,78";"87,26";"68,32";"68,32";"88,02";"83,13";"78,19";"79,20";"87,81";"84,09";"86,23";"80,92";"106,40";"88,02";"86,23";"59,48";"62,19";"59,53";"74,75";"83,05"
"110005 CEREJEIRAS";"44,04";"50,90";"105,42";"119,49";"119,49";"119,49";"106,50";"119,13";"112,76";"116,97";"124,91";"162,09";"124,19";"120,22";"124,19";"119,86";"102,89";"82,30";"90,25";"117,67";"155,02";"111,24"
"110006 COLORADO DO OESTE";"19,75";"27,57";"71,60";"77,78";"102,88";"102,88";"101,23";"100,00";"70,16";"68,31";"62,96";"109,05";"73,25";"59,67";"104,53";"57,61";"51,85";"66,67";"56,38";"52,01";"64,47";"71,29"
"110007 CORUMBIARA";"50,57";"58,62";"132,18";"142,53";"134,48";"134,48";"133,33";"136,78";"89,76";"139,08";"142,53";"154,02";"147,13";"132,18";"154,02";"133,33";"126,44";"87,40";"121,84";"86,40";"95,20";"118,15"
"110008 COSTA MARQUES";"131,48";"74,54";"99,07";"144,44";"134,72";"134,72";"130,56";"136,11";"64,07";"121,76";"95,83";"112,96";"131,48";"84,72";"132,41";"100,00";"91,67";"40,68";"54,17";"47,19";"51,31";"97,98"
"110009 ESPIGAO D\'OESTE";"71,48";"67,73";"77,67";"77,86";"92,87";"92,87";"97,00";"99,81";"82,09";"76,17";"76,36";"99,81";"81,80";"75,98";"100,75";"77,49";"72,42";"62,26";"57,04";"31,52";"72,32";"78,51"
"110010 GUAJARA-MIRIM";"85,39";"70,07";"76,37";"81,83";"80,17";"80,17";"131,83";"97,03";"42,82";"69,12";"77,08";"130,17";"83,97";"60,69";"168,05";"78,03";"69,95";"34,84";"45,37";"41,52";"60,87";"78,96"
"110011 JARU";"109,22";"126,60";"104,26";"105,32";"99,65";"99,65";"109,93";"106,74";"61,96";"97,87";"97,40";"159,10";"123,52";"90,31";"128,01";"91,84";"60,40";"51,35";"62,29";"83,97";"132,53";"100,10"
