"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"DTP";"Sarampo";"Ignorado";" Total"
"11 Rondônia";"93,86";"47,54";"54,17";"8,29";"62,68";"75,57";"0";"42,76"
"12 Acre";"61,01";"11,21";"24,31";"0";"30,66";"37,05";"0";"20,53"
"13 Amazonas";"41,00";"27,96";"17,86";"7,55";"32,00";"34,81";"0";"20,15"
"14 Roraima";"99,64";"10,60";"49,36";"3,70";"70,53";"90,29";"94,16";"64,06"
"15 Pará";"84,18";"3,46";"38,36";"5,36";"64,67";"63,49";"0";"32,44"
"21 Maranhão";"66,55";"0,07";"34,81";"33,62";"39,16";"45,26";"0";"27,43"
"22 Piauí";"99,20";"0";"53,33";"0,01";"65,65";"67,65";"105,97";"62,22"
"23 Ceará";"104,65";"0";"94,18";"0";"91,04";"103,72";"0";"49,20"
"24 Rio Grande do Norte";"101,77";"0";"69,70";"0";"78,79";"80,44";"0";"41,34"
"26 Pernambuco";"84,38";"0";"51,16";"0";"58,85";"73,31";"0";"33,46"
"29 Bahia";"109,63";"0";"76,52";"0";"75,47";"82,61";"0";"43,03"
"32 Espírito Santo";"94,31";"90,42";"73,72";"0";"87,09";"96,21";"0";"55,22"
"42 Santa Catarina";"112,64";"38,45";"87,00";"0,12";"87,23";"87,35";"0";"51,60"
"51 Mato Grosso";"78,75";"0,01";"48,25";"5,70";"57,62";"63,74";"0";"31,76"
"52 Goiás";"56,81";"0";"37,28";"2,21";"39,27";"43,36";"0";"22,37"
"Total";"88,31";"8,85";"58,24";"5,27";"64,76";"71,37";"4,69";"38,27"
