"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"101,12";"69,65";"68,75";"49,44";"71,72";"96,54";"0";"0";"50,80"
"12 Acre";"110,92";"51,66";"45,84";"63,59";"49,43";"98,03";"0";"0";"46,61"
"13 Amazonas";"88,38";"42,02";"48,41";"16,68";"52,32";"74,59";"0";"0";"35,82"
"14 Roraima";"129,05";"45,72";"93,94";"33,29";"82,78";"116,47";"0";"149,14";"88,84"
"15 Pará";"107,88";"31,17";"45,48";"12,84";"71,80";"91,81";"0";"0";"40,11"
"16 Amapá";"94,46";"6,92";"59,74";"0,04";"70,55";"80,42";"0";"0";"34,68"
"21 Maranhão";"104,50";"0,00";"43,91";"41,82";"59,98";"71,00";"0";"0";"35,69"
"22 Piauí";"117,83";"0,01";"65,31";"0,17";"76,54";"64,35";"0";"54,64";"48,16"
"23 Ceará";"133,83";"0";"106,37";"0";"102,96";"107,40";"0";"0";"50,06"
"24 Rio Grande do Norte";"98,10";"0,00";"73,06";"0,00";"81,13";"83,70";"0";"53,54";"49,23"
"25 Paraíba";"68,26";"0";"40,16";"0";"46,20";"50,75";"0";"0";"22,82"
"26 Pernambuco";"121,43";"0";"112,12";"0,00";"82,58";"104,74";"0";"140,60";"78,01"
"27 Alagoas";"82,07";"0";"54,07";"0";"46,64";"72,36";"0";"0";"28,35"
"28 Sergipe";"119,02";"0";"92,80";"0";"85,26";"93,22";"0";"109,31";"67,66"
"29 Bahia";"81,37";"0";"48,70";"0";"53,41";"70,57";"0";"0";"28,23"
"32 Espírito Santo";"103,09";"86,87";"73,97";"0,02";"90,77";"89,98";"0";"114,74";"74,91"
"33 Rio de Janeiro";"120,92";"0,00";"90,96";"0";"93,93";"83,79";"0";"0";"43,29"
"35 São Paulo";"110,55";"0";"97,00";"0";"99,83";"97,71";"0";"0";"45,01"
"41 Paraná";"80,39";"26,62";"70,01";"0,07";"70,11";"70,47";"0";"0";"35,30"
"42 Santa Catarina";"114,28";"91,98";"97,47";"0,00";"96,82";"98,68";"0,00";"0";"55,47"
"43 Rio Grande do Sul";"102,81";"0";"96,69";"0";"96,69";"97,74";"0";"96,66";"65,25"
"51 Mato Grosso";"100,39";"0,02";"58,58";"18,66";"73,26";"88,14";"0";"0";"37,67"
"52 Goiás";"115,33";"0,01";"85,64";"10,10";"88,07";"110,09";"0";"109,53";"69,81"
"53 Distrito Federal";"1,70";"1,37";"0";"0";"0";"0";"0";"0";"0,34"
"Total";"103,63";"10,50";"77,83";"4,81";"80,54";"86,86";"0,00";"23,61";"45,71"
