"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"120,42";"37,92";"92,83";"97,43";"93,57";"105,09";"0";"101,37";"83,33"
"12 Acre";"95,83";"13,15";"78,74";"85,83";"43,39";"93,04";"0";"99,03";"67,56"
"13 Amazonas";"109,65";"12,19";"85,73";"74,31";"58,65";"106,45";"0";"100,54";"72,01"
"14 Roraima";"129,41";"30,93";"81,69";"53,11";"73,65";"110,31";"0";"121,60";"80,26"
"15 Pará";"118,54";"5,14";"49,71";"29,26";"65,34";"95,61";"0";"120,08";"67,09"
"16 Amapá";"88,07";"11,79";"86,57";"10,54";"79,00";"92,11";"0";"50,22";"52,06"
"17 Tocantins";"112,98";"24,80";"100,46";"60,35";"84,82";"122,72";"0";"0";"56,24"
"21 Maranhão";"118,82";"0,47";"62,35";"18,40";"47,81";"102,07";"0";"96,51";"60,33"
"22 Piauí";"106,74";"0";"62,77";"0,69";"53,58";"76,72";"0";"109,18";"57,65"
"23 Ceará";"131,62";"0,00";"109,36";"0";"82,96";"131,76";"0";"105,16";"74,00"
"24 Rio Grande do Norte";"102,44";"0,01";"75,44";"0,49";"77,64";"95,16";"0";"101,39";"61,55"
"25 Paraíba";"110,13";"0,02";"85,18";"0";"79,53";"94,59";"0";"100,03";"63,28"
"26 Pernambuco";"138,95";"0,35";"128,05";"0,07";"75,26";"122,51";"0";"138,36";"82,44"
"27 Alagoas";"89,31";"0,10";"50,12";"0,11";"32,92";"65,19";"0";"110,39";"50,95"
"28 Sergipe";"124,60";"0,03";"98,86";"0";"94,67";"106,09";"0";"120,53";"73,92"
"29 Bahia";"102,44";"0,06";"68,03";"0,03";"62,22";"86,02";"0";"107,08";"59,22"
"31 Minas Gerais";"94,43";"0,02";"76,28";"0,29";"65,33";"108,07";"0,00";"109,49";"62,60"
"32 Espírito Santo";"112,42";"34,50";"98,38";"2,32";"98,39";"105,21";"0";"124,37";"77,78"
"33 Rio de Janeiro";"129,97";"0,34";"98,15";"0,06";"78,89";"105,80";"0,00";"104,45";"69,12"
"35 São Paulo";"132,00";"0";"106,69";"0";"98,02";"134,43";"0";"100,58";"74,70"
"41 Paraná";"110,91";"47,95";"97,90";"0,27";"96,85";"122,89";"0,48";"105,77";"76,53"
"42 Santa Catarina";"115,99";"21,72";"94,32";"0,03";"83,40";"107,62";"0,16";"118,19";"73,29"
"43 Rio Grande do Sul";"106,21";"0,10";"91,24";"0,02";"90,72";"97,15";"0";"100,08";"65,07"
"50 Mato Grosso do Sul";"120,67";"0,16";"80,17";"51,61";"79,41";"83,04";"0";"110,25";"70,62"
"51 Mato Grosso";"119,89";"0,34";"104,25";"29,89";"91,60";"103,39";"0";"109,30";"74,22"
"52 Goiás";"108,98";"1,20";"68,33";"31,83";"61,32";"113,82";"0";"122,56";"70,07"
"53 Distrito Federal";"146,75";"32,44";"107,50";"4,02";"104,94";"0,42";"0,00";"90,72";"64,17"
"Total";"117,12";"5,79";"89,27";"7,84";"78,50";"108,61";"0,03";"106,68";"68,95"
