"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Sarampo";"Haemophilus influenzae b";"Ignorado";" Total"
"11 Rondônia";"113,72";"94,89";"96,48";"103,35";"0";"96,38";"97,87";"0,42";"94,42";"82,31"
"12 Acre";"97,32";"113,88";"76,77";"99,23";"0";"55,69";"74,42";"0";"107,40";"85,61"
"13 Amazonas";"117,20";"64,23";"84,06";"93,87";"0";"69,39";"82,49";"0,12";"84,42";"72,19"
"14 Roraima";"137,46";"95,52";"99,13";"98,09";"0";"95,44";"96,02";"0";"114,26";"93,76"
"15 Pará";"100,51";"63,64";"86,14";"92,57";"0";"69,82";"85,10";"4,11";"104,65";"82,95"
"16 Amapá";"132,84";"83,62";"85,72";"94,50";"0";"87,06";"100,13";"0";"99,53";"83,48"
"17 Tocantins";"119,50";"96,97";"107,50";"102,84";"0";"100,13";"100,22";"0,08";"101,81";"87,82"
"21 Maranhão";"122,25";"35,39";"68,41";"77,45";"0";"69,22";"93,02";"0";"98,26";"81,10"
"22 Piauí";"113,31";"14,23";"94,71";"11,97";"0";"91,17";"95,26";"0,33";"100,86";"81,53"
"23 Ceará";"119,40";"59,57";"104,02";"14,27";"0";"101,77";"112,02";"9,08";"103,07";"88,63"
"24 Rio Grande do Norte";"105,02";"38,88";"79,87";"1,28";"0";"87,21";"89,81";"0,03";"98,29";"78,80"
"25 Paraíba";"107,34";"45,64";"94,52";"1,61";"0";"92,32";"93,34";"0,08";"98,27";"81,68"
"26 Pernambuco";"141,20";"85,69";"127,29";"0,44";"0";"103,50";"117,36";"4,41";"103,55";"87,47"
"27 Alagoas";"111,97";"55,10";"85,32";"1,52";"0";"78,83";"84,94";"0,83";"103,06";"78,30"
"28 Sergipe";"125,90";"72,99";"105,68";"0,00";"0";"102,23";"104,06";"0";"120,26";"98,68"
"29 Bahia";"106,50";"83,39";"83,54";"36,07";"0";"80,60";"85,62";"1,56";"96,13";"82,45"
"31 Minas Gerais";"103,83";"75,64";"93,10";"56,51";"0";"91,84";"95,96";"6,62";"105,27";"90,14"
"32 Espírito Santo";"118,95";"107,94";"148,59";"0,06";"0";"108,26";"108,38";"8,87";"105,72";"94,67"
"33 Rio de Janeiro";"134,13";"77,08";"101,67";"0,25";"0";"101,97";"106,29";"16,33";"105,62";"91,77"
"35 São Paulo";"128,76";"112,32";"112,18";"11,98";"0";"110,42";"115,24";"1,37";"100,88";"92,11"
"41 Paraná";"107,37";"104,07";"92,91";"0,19";"0";"93,02";"97,89";"1,80";"81,79";"75,09"
"42 Santa Catarina";"100,09";"86,46";"92,97";"0,17";"0";"92,22";"94,31";"4,46";"96,91";"82,85"
"43 Rio Grande do Sul";"110,23";"110,45";"94,68";"0,18";"0";"95,25";"94,14";"0,80";"98,58";"85,90"
"50 Mato Grosso do Sul";"114,96";"65,29";"97,52";"87,28";"0";"89,41";"105,21";"0,28";"106,82";"92,05"
"51 Mato Grosso";"107,83";"75,32";"111,50";"76,55";"0";"89,43";"97,50";"2,35";"95,60";"84,87"
"52 Goiás";"108,16";"90,29";"98,08";"74,20";"0";"92,33";"96,60";"8,61";"99,39";"87,36"
"53 Distrito Federal";"162,78";"119,35";"126,08";"6,77";"134,17";"125,03";"0,00";"100,43";"93,04";"86,24"
"Total";"117,28";"83,50";"99,08";"29,06";"6692,10";"94,46";"99,31";"5,09";"100,06";"86,57"
