"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Sarampo";"Haemophilus influenzae b";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"102,43";"92,68";"98,27";"100,23";"94,94";"33,14";"96,17";"33,58";"65,36";"82,63";"78,18"
"12 Acre";"132,91";"84,91";"122,35";"101,18";"104,56";"29,65";"80,08";"15,47";"67,66";"87,33";"81,66"
"13 Amazonas";"107,78";"66,06";"91,89";"89,94";"71,27";"40,14";"84,27";"34,71";"32,08";"77,51";"70,98"
"14 Roraima";"116,91";"85,19";"93,31";"103,89";"75,26";"27,50";"93,31";"20,62";"68,36";"85,30";"78,33"
"15 Pará";"127,04";"85,50";"118,45";"95,47";"120,34";"65,43";"116,86";"42,21";"33,13";"84,22";"82,66"
"16 Amapá";"129,05";"90,72";"94,27";"98,99";"89,81";"30,11";"54,55";"28,85";"64,66";"81,01";"75,61"
"17 Tocantins";"113,06";"95,97";"106,54";"108,59";"88,48";"24,50";"98,91";"20,14";"75,77";"85,92";"80,88"
"21 Maranhão";"118,94";"79,78";"96,78";"98,70";"83,40";"44,48";"100,98";"31,38";"48,29";"81,45";"76,93"
"22 Piauí";"109,56";"93,41";"106,35";"81,73";"95,22";"71,78";"97,88";"65,93";"24,19";"82,77";"79,67"
"23 Ceará";"110,69";"100,35";"103,92";"0,77";"104,11";"37,63";"105,78";"31,35";"69,87";"86,49";"78,97"
"24 Rio Grande do Norte";"114,24";"97,59";"94,42";"1,76";"75,35";"40,15";"93,59";"30,82";"60,78";"80,28";"73,20"
"25 Paraíba";"112,80";"96,61";"100,66";"0,11";"96,56";"56,69";"101,46";"51,17";"46,19";"82,39";"76,52"
"26 Pernambuco";"123,86";"97,84";"103,77";"8,11";"84,64";"38,80";"107,29";"28,95";"62,19";"84,87";"77,76"
"27 Alagoas";"122,14";"95,03";"98,48";"0,15";"97,43";"41,63";"103,06";"36,51";"61,08";"82,92";"76,03"
"28 Sergipe";"105,13";"101,39";"103,27";"0,29";"103,48";"43,58";"108,69";"41,06";"65,26";"84,82";"78,28"
"29 Bahia";"107,19";"83,82";"93,10";"87,18";"88,35";"57,05";"93,03";"42,81";"35,69";"80,83";"76,22"
"31 Minas Gerais";"97,29";"90,25";"91,01";"68,62";"98,80";"35,86";"74,61";"34,66";"55,37";"81,06";"75,07"
"32 Espírito Santo";"108,58";"102,69";"114,88";"4,13";"101,04";"31,94";"100,05";"26,92";"74,45";"84,68";"78,05"
"33 Rio de Janeiro";"110,33";"89,03";"111,61";"0,38";"96,23";"67,12";"98,25";"60,99";"42,16";"78,22";"74,66"
"35 São Paulo";"108,99";"93,82";"95,89";"8,70";"105,13";"33,08";"100,37";"33,01";"64,74";"78,25";"73,30"
"41 Paraná";"106,78";"99,45";"102,67";"0,50";"101,72";"53,28";"98,35";"52,50";"50,75";"83,24";"77,26"
"42 Santa Catarina";"102,76";"98,88";"99,10";"4,95";"91,38";"36,75";"99,77";"36,30";"64,56";"80,68";"74,59"
"43 Rio Grande do Sul";"103,68";"90,06";"93,52";"3,45";"86,54";"36,24";"96,07";"34,38";"60,49";"80,90";"74,07"
"50 Mato Grosso do Sul";"114,94";"97,30";"114,34";"107,73";"100,22";"52,27";"99,86";"49,30";"54,53";"81,93";"80,84"
"51 Mato Grosso";"112,31";"88,40";"111,61";"106,44";"94,64";"45,48";"102,84";"39,84";"59,20";"85,76";"81,93"
"52 Goiás";"112,81";"90,89";"99,28";"102,41";"99,18";"71,18";"102,20";"60,43";"28,44";"86,29";"82,66"
"53 Distrito Federal";"116,89";"92,17";"97,23";"0,20";"99,92";"17,33";"0";"18,25";"83,10";"80,99";"69,15"
"Total";"110,28";"91,47";"100,01";"38,70";"96,92";"44,69";"96,02";"38,98";"53,86";"81,35";"76,09"
