"Unidade da Federação";"BCG";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"109,69";"101,90";"110,25";"105,13";"115,99";"108,70";"108,70";"75,71";"80,75"
"12 Acre";"110,46";"82,15";"94,05";"79,37";"95,12";"89,71";"89,68";"68,96";"72,09"
"13 Amazonas";"130,49";"85,09";"90,97";"89,07";"104,03";"92,16";"92,16";"69,33";"73,67"
"14 Roraima";"107,16";"87,62";"100,22";"95,09";"116,01";"95,90";"95,90";"72,34";"78,26"
"15 Pará";"146,91";"106,42";"123,42";"103,10";"116,35";"115,02";"114,99";"83,58";"89,24"
"16 Amapá";"123,56";"91,32";"99,70";"90,31";"99,34";"96,39";"96,39";"76,36";"81,02"
"17 Tocantins";"110,81";"102,76";"106,26";"99,84";"101,00";"105,36";"105,36";"74,26";"78,77"
"21 Maranhão";"132,83";"100,16";"112,95";"102,16";"113,67";"105,29";"105,29";"78,34";"83,50"
"22 Piauí";"108,98";"94,83";"102,53";"94,41";"102,50";"100,45";"100,44";"72,71";"76,64"
"23 Ceará";"118,57";"106,33";"110,62";"0,08";"110,35";"108,53";"107,56";"76,84";"78,93"
"24 Rio Grande do Norte";"112,21";"94,62";"98,43";"1,34";"100,34";"97,04";"97,04";"70,90";"72,55"
"25 Paraíba";"125,97";"101,24";"104,78";"0,26";"107,30";"104,07";"104,07";"74,77";"76,30"
"26 Pernambuco";"117,31";"99,31";"109,70";"1,21";"109,15";"106,07";"106,07";"76,54";"78,07"
"27 Alagoas";"118,76";"97,95";"103,22";"0,07";"110,17";"104,69";"104,69";"75,50";"76,65"
"28 Sergipe";"104,81";"90,63";"97,17";"0,01";"93,82";"97,12";"97,08";"73,19";"73,63"
"29 Bahia";"124,43";"102,38";"109,82";"103,64";"117,98";"108,77";"108,77";"75,83";"81,47"
"31 Minas Gerais";"108,89";"101,94";"105,86";"101,79";"107,46";"106,00";"105,91";"72,57";"77,68"
"32 Espírito Santo";"108,75";"103,15";"112,11";"34,60";"110,12";"107,42";"107,37";"76,05";"78,62"
"33 Rio de Janeiro";"115,50";"96,53";"118,98";"0,34";"107,75";"101,96";"101,94";"72,58";"75,27"
"35 São Paulo";"106,30";"97,17";"96,74";"10,50";"102,04";"97,95";"97,42";"69,39";"72,45"
"41 Paraná";"104,32";"97,17";"99,65";"0,22";"99,78";"99,88";"99,64";"72,41";"73,68"
"42 Santa Catarina";"103,14";"98,75";"101,37";"9,28";"101,01";"102,01";"101,68";"71,96";"74,04"
"43 Rio Grande do Sul";"103,22";"93,33";"97,64";"5,17";"101,40";"98,11";"97,96";"68,47";"70,25"
"50 Mato Grosso do Sul";"102,71";"95,83";"100,48";"93,86";"97,99";"100,56";"100,56";"70,03";"75,05"
"51 Mato Grosso";"113,86";"96,64";"112,94";"100,02";"109,58";"105,31";"105,31";"76,69";"81,56"
"52 Goiás";"116,34";"94,89";"104,03";"104,93";"106,42";"105,84";"105,76";"77,36";"81,92"
"53 Distrito Federal";"109,26";"94,07";"96,60";"0,09";"101,14";"95,06";"86,39";"142,81";"112,52"
"Total";"114,48";"98,46";"105,12";"42,95";"106,55";"102,82";"102,49";"73,77";"77,04"
