"Unidade da Federação";"BCG";"Rotavírus Humano";"Hepatite B";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"121,15";"51,00";"114,10";"122,13";"119,70";"125,36";"120,48";"120,48";"78,92";"84,44"
"12 Acre";"116,02";"17,60";"85,93";"94,66";"83,81";"90,84";"88,14";"87,83";"67,84";"70,66"
"13 Amazonas";"127,52";"33,21";"86,34";"89,85";"92,13";"103,37";"91,34";"91,31";"71,06";"74,81"
"14 Roraima";"115,45";"36,94";"84,80";"90,94";"90,78";"94,23";"89,81";"89,67";"70,86";"74,22"
"15 Pará";"140,16";"26,51";"105,30";"116,22";"98,62";"113,05";"109,03";"108,92";"84,49";"86,99"
"16 Amapá";"121,68";"34,28";"90,84";"94,36";"85,89";"90,41";"92,58";"92,50";"73,07";"76,09"
"17 Tocantins";"111,61";"48,48";"105,93";"108,91";"100,70";"100,96";"108,74";"108,67";"74,89";"78,68"
"21 Maranhão";"138,46";"32,94";"106,39";"114,26";"106,79";"110,54";"108,90";"108,90";"78,64";"82,76"
"22 Piauí";"109,07";"37,71";"101,69";"107,62";"99,73";"104,90";"105,17";"105,05";"74,49";"78,18"
"23 Ceará";"110,12";"41,73";"104,35";"109,21";"0,31";"105,30";"106,60";"106,60";"75,89";"76,59"
"24 Rio Grande do Norte";"117,69";"35,21";"102,00";"102,95";"0,94";"107,58";"103,88";"103,86";"71,91";"73,24"
"25 Paraíba";"125,87";"54,39";"107,08";"111,07";"0,34";"112,97";"110,69";"110,69";"75,09";"76,76"
"26 Pernambuco";"116,60";"43,30";"101,79";"109,60";"0,33";"110,07";"108,05";"108,05";"76,53";"76,81"
"27 Alagoas";"117,42";"31,33";"99,90";"103,88";"0,13";"103,90";"104,81";"104,81";"74,55";"74,40"
"28 Sergipe";"106,32";"51,96";"94,47";"99,51";"0,04";"95,89";"99,04";"99,00";"73,04";"73,28"
"29 Bahia";"119,03";"40,81";"103,71";"109,76";"103,70";"114,49";"108,83";"108,83";"75,85";"80,39"
"31 Minas Gerais";"106,77";"57,15";"103,54";"105,99";"102,50";"105,77";"106,14";"106,05";"72,30";"76,92"
"32 Espírito Santo";"106,40";"59,60";"103,09";"112,45";"36,40";"109,37";"106,75";"106,57";"75,34";"77,39"
"33 Rio de Janeiro";"113,78";"48,58";"96,12";"103,95";"0,22";"102,12";"97,94";"97,94";"70,32";"71,88"
"35 São Paulo";"104,46";"56,19";"97,07";"99,93";"11,50";"101,19";"98,58";"98,15";"68,77";"71,61"
"41 Paraná";"104,35";"50,13";"100,81";"103,49";"42,28";"101,21";"104,15";"103,86";"72,03";"74,62"
"42 Santa Catarina";"101,15";"57,21";"98,63";"101,03";"9,03";"100,38";"101,88";"101,50";"71,52";"73,09"
"43 Rio Grande do Sul";"102,08";"44,76";"95,34";"99,10";"4,91";"101,05";"99,54";"99,39";"67,88";"69,27"
"50 Mato Grosso do Sul";"104,31";"55,34";"102,21";"104,61";"99,21";"104,28";"105,03";"104,70";"71,62";"76,70"
"51 Mato Grosso";"111,97";"28,84";"98,85";"109,60";"105,44";"109,83";"106,10";"106,09";"75,83";"79,43"
"52 Goiás";"117,71";"33,82";"104,46";"110,61";"109,79";"109,78";"110,14";"110,04";"77,16";"81,86"
"53 Distrito Federal";"112,04";"59,79";"99,85";"101,83";"1,60";"98,91";"99,61";"96,94";"149,12";"114,73"
"Total";"113,06";"46,52";"100,30";"105,25";"46,17";"105,35";"103,50";"103,31";"73,47";"76,12"
