"Unidade da Federação";"BCG";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Pneumocócica";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"105,79";"88,46";"119,99";"101,35";"90,78";"107,32";"103,51";"102,72";"106,95";"106,09";"79,56";"92,75"
"12 Acre";"109,63";"72,29";"75,19";"93,78";"50,85";"111,03";"96,38";"105,29";"96,95";"96,43";"77,19";"84,74"
"13 Amazonas";"117,27";"64,13";"83,28";"90,33";"61,39";"87,15";"89,88";"94,67";"91,25";"89,73";"71,56";"80,09"
"14 Roraima";"115,06";"72,92";"93,86";"93,31";"74,13";"95,52";"93,11";"97,98";"95,91";"91,53";"74,52";"84,42"
"15 Pará";"120,12";"71,51";"61,60";"96,71";"46,31";"101,54";"95,98";"109,25";"96,13";"95,96";"77,36";"84,11"
"16 Amapá";"111,74";"68,11";"74,80";"88,48";"61,79";"84,58";"80,74";"93,00";"89,94";"89,45";"69,91";"77,88"
"17 Tocantins";"102,60";"86,33";"118,40";"98,55";"94,29";"99,62";"93,40";"91,41";"100,63";"100,29";"74,32";"87,78"
"21 Maranhão";"122,77";"77,84";"70,50";"97,04";"50,76";"102,93";"101,53";"112,84";"100,33";"95,20";"79,61";"87,15"
"22 Piauí";"100,07";"84,91";"108,34";"96,92";"78,36";"98,47";"92,71";"97,02";"99,29";"98,99";"74,21";"86,04"
"23 Ceará";"105,98";"88,44";"98,96";"98,25";"81,64";"100,00";"0,11";"110,92";"100,11";"100,11";"77,16";"83,44"
"24 Rio Grande do Norte";"119,20";"82,55";"90,37";"97,52";"80,39";"96,88";"0,08";"99,47";"97,04";"97,01";"75,37";"81,30"
"25 Paraíba";"113,41";"84,38";"82,65";"98,29";"82,86";"101,97";"0,41";"102,34";"101,80";"101,72";"77,61";"82,82"
"26 Pernambuco";"110,45";"89,76";"108,14";"103,01";"92,70";"109,60";"0,38";"113,67";"107,08";"106,90";"81,91";"88,72"
"27 Alagoas";"99,87";"69,84";"88,03";"89,84";"67,98";"90,61";"0,27";"89,95";"90,34";"90,34";"68,95";"73,81"
"28 Sergipe";"98,60";"95,08";"102,92";"102,07";"94,00";"103,40";"0,11";"98,03";"103,31";"103,27";"76,27";"83,94"
"29 Bahia";"105,24";"77,90";"93,47";"95,95";"66,46";"97,32";"92,26";"100,29";"98,66";"98,56";"74,88";"84,73"
"31 Minas Gerais";"102,88";"96,22";"106,04";"98,03";"101,25";"103,22";"99,51";"100,80";"104,20";"103,90";"72,69";"87,40"
"32 Espírito Santo";"103,27";"97,07";"122,22";"103,95";"106,20";"108,26";"0,66";"103,76";"105,94";"105,56";"79,17";"88,35"
"33 Rio de Janeiro";"114,04";"85,42";"106,89";"94,81";"69,43";"112,15";"0,33";"107,16";"97,45";"97,38";"78,17";"83,91"
"35 São Paulo";"103,72";"93,95";"122,05";"99,28";"86,63";"100,30";"20,45";"100,34";"98,65";"97,99";"75,75";"84,96"
"41 Paraná";"106,53";"93,21";"120,45";"100,84";"94,19";"102,50";"77,49";"98,59";"103,59";"103,53";"77,32";"89,97"
"42 Santa Catarina";"106,70";"96,72";"131,03";"101,22";"102,77";"101,18";"28,92";"99,79";"102,33";"101,04";"76,69";"88,07"
"43 Rio Grande do Sul";"101,20";"84,06";"117,08";"93,63";"92,79";"95,07";"34,84";"93,87";"94,66";"94,14";"71,80";"81,99"
"50 Mato Grosso do Sul";"107,48";"93,07";"113,31";"99,98";"89,78";"95,54";"98,91";"96,29";"103,34";"101,83";"76,15";"89,37"
"51 Mato Grosso";"105,01";"88,31";"107,06";"99,06";"74,48";"103,22";"95,93";"98,48";"99,22";"98,74";"75,46";"87,40"
"52 Goiás";"120,18";"92,49";"123,55";"100,39";"99,83";"107,11";"107,96";"115,54";"104,68";"104,18";"82,06";"96,24"
"53 Distrito Federal";"98,39";"78,35";"108,78";"85,47";"74,72";"86,48";"3,86";"89,52";"84,82";"84,55";"55,42";"67,70"
"Total";"107,94";"87,06";"105,66";"97,71";"81,65";"101,33";"48,95";"102,39";"99,61";"99,00";"75,73";"85,31"
