"Unidade da Federação";"BCG";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Febre Amarela";"Tríplice Viral  D1";"DTP";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"106,12";"89,45";"103,11";"102,76";"24,78";"97,54";"105,68";"103,02";"105,40";"103,97";"79,20";"76,33";"85,82"
"12 Acre";"105,00";"73,76";"83,11";"90,68";"16,38";"69,66";"96,07";"94,45";"90,28";"87,57";"71,18";"66,99";"74,35"
"13 Amazonas";"124,16";"67,93";"87,70";"93,98";"24,08";"75,35";"91,93";"93,64";"103,39";"93,26";"69,17";"72,63";"79,18"
"14 Roraima";"118,08";"73,71";"84,65";"84,34";"28,56";"78,57";"88,78";"83,87";"87,83";"81,44";"52,88";"65,93";"73,13"
"15 Pará";"113,62";"74,00";"85,21";"93,35";"14,79";"72,39";"97,78";"95,00";"102,20";"89,41";"74,61";"70,99";"77,87"
"16 Amapá";"105,80";"72,56";"86,79";"87,77";"15,78";"75,59";"92,67";"84,54";"91,55";"87,16";"71,38";"66,33";"73,77"
"17 Tocantins";"98,29";"83,12";"96,82";"93,49";"36,25";"92,97";"92,75";"93,88";"91,60";"89,38";"53,13";"66,31";"76,34"
"21 Maranhão";"114,07";"79,20";"89,16";"97,44";"23,82";"76,27";"97,54";"100,62";"98,21";"86,71";"62,89";"68,84";"77,67"
"22 Piauí";"96,75";"86,36";"96,94";"93,04";"22,76";"91,87";"93,91";"97,29";"98,33";"92,92";"70,16";"67,17";"77,57"
"23 Ceará";"103,02";"88,66";"96,34";"95,67";"27,48";"89,96";"97,79";"0,09";"97,61";"93,83";"66,36";"70,50";"74,76"
"24 Rio Grande do Norte";"112,51";"83,41";"95,25";"97,04";"16,78";"88,47";"93,98";"0,11";"98,69";"93,72";"76,94";"70,97";"74,96"
"25 Paraíba";"108,66";"79,63";"86,87";"96,31";"29,20";"83,48";"92,08";"0,47";"92,72";"87,90";"58,70";"66,45";"70,88"
"26 Pernambuco";"106,89";"90,53";"100,79";"103,68";"24,89";"95,20";"100,08";"0,32";"104,59";"99,82";"74,93";"73,63";"78,44"
"27 Alagoas";"107,00";"75,58";"92,87";"92,56";"29,00";"82,50";"90,22";"0,29";"93,18";"87,12";"58,12";"66,34";"70,45"
"28 Sergipe";"92,28";"89,67";"98,07";"96,56";"24,46";"94,97";"96,85";"0,06";"97,34";"97,28";"72,83";"69,19";"74,33"
"29 Bahia";"99,27";"77,69";"92,41";"92,25";"6,05";"83,99";"93,26";"91,40";"97,88";"93,58";"87,54";"69,38";"77,33"
"31 Minas Gerais";"103,34";"93,79";"100,72";"100,70";"27,81";"98,66";"98,61";"97,85";"104,88";"97,71";"69,90";"72,45";"82,73"
"32 Espírito Santo";"103,12";"94,35";"100,98";"101,42";"32,91";"100,49";"104,93";"0,80";"105,07";"101,83";"68,92";"75,03";"79,71"
"33 Rio de Janeiro";"107,57";"82,66";"94,60";"92,62";"31,08";"80,27";"96,87";"0,39";"97,18";"91,34";"60,26";"70,70";"73,71"
"35 São Paulo";"104,01";"91,56";"98,72";"97,44";"23,96";"89,55";"96,44";"20,45";"99,54";"94,72";"70,76";"72,69";"77,28"
"41 Paraná";"103,92";"91,65";"99,86";"99,07";"22,07";"94,94";"96,78";"76,89";"99,94";"100,23";"78,16";"69,18";"79,48"
"42 Santa Catarina";"104,28";"96,43";"104,25";"99,42";"33,14";"100,71";"99,97";"29,60";"100,35";"99,10";"65,96";"70,90";"78,79"
"43 Rio Grande do Sul";"101,24";"83,97";"94,39";"92,02";"35,19";"89,57";"89,40";"49,17";"91,61";"85,59";"50,40";"65,52";"72,95"
"50 Mato Grosso do Sul";"105,36";"91,36";"100,53";"99,51";"30,29";"96,14";"102,28";"98,32";"100,76";"99,73";"69,44";"74,05";"83,46"
"51 Mato Grosso";"107,44";"90,05";"98,56";"98,60";"22,58";"88,58";"99,50";"97,67";"99,32";"95,66";"73,08";"72,03";"81,37"
"52 Goiás";"112,78";"90,40";"101,40";"102,78";"40,88";"95,85";"101,00";"102,55";"107,68";"89,28";"48,40";"71,93";"82,52"
"53 Distrito Federal";"106,51";"85,89";"92,91";"92,46";"31,51";"81,75";"93,65";"3,09";"92,85";"92,08";"60,57";"53,53";"64,84"
"Total";"105,69";"86,37";"96,18";"96,67";"24,89";"88,39";"96,55";"49,31";"99,50";"93,81";"68,93";"70,51";"77,32"
