"Unidade da Federação";"BCG";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Febre Amarela";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"108,15";"96,25";"98,45";"101,44";"96,22";"94,60";"100,07";"103,68";"93,12";"89,44";"96,10";"106,52";"74,56";"38,30";"97,69";"94,15";"57,76";"3,04";"98,43";"53,91";"76,72"
"12 Acre";"106,16";"73,49";"80,32";"84,83";"81,54";"69,00";"92,78";"84,12";"56,06";"57,47";"82,72";"95,00";"27,08";"12,84";"82,58";"73,75";"47,58";"1,53";"78,00";"29,35";"58,87"
"13 Amazonas";"116,92";"75,98";"86,36";"86,43";"84,77";"75,57";"96,83";"91,35";"76,08";"76,48";"83,64";"98,77";"56,09";"30,44";"86,26";"81,60";"48,43";"2,27";"83,33";"47,98";"67,06"
"14 Roraima";"94,17";"72,10";"83,38";"83,52";"82,63";"79,81";"86,48";"80,36";"74,30";"69,80";"77,83";"89,07";"23,02";"18,29";"83,04";"79,21";"40,34";"11,55";"85,17";"37,89";"60,70"
"15 Pará";"117,68";"85,97";"89,92";"93,44";"87,89";"77,96";"96,98";"90,07";"76,51";"79,38";"89,94";"98,49";"34,76";"20,14";"89,61";"83,56";"55,03";"3,11";"86,32";"48,92";"67,91"
"16 Amapá";"117,07";"75,48";"91,36";"92,44";"90,56";"77,89";"93,31";"82,57";"78,28";"68,43";"87,26";"95,63";"48,43";"30,17";"91,34";"83,44";"53,45";"0,39";"85,91";"52,11";"67,66"
"17 Tocantins";"92,02";"90,19";"97,86";"105,07";"98,05";"93,87";"96,97";"93,22";"88,90";"85,85";"83,22";"102,24";"72,31";"34,67";"98,31";"79,75";"52,32";"2,25";"96,02";"53,40";"72,78"
"21 Maranhão";"113,39";"88,99";"93,69";"100,18";"96,48";"86,20";"105,73";"99,37";"81,01";"84,65";"95,68";"106,37";"46,05";"23,44";"97,38";"107,27";"54,51";"4,26";"92,62";"50,91";"73,54"
"22 Piauí";"96,50";"89,57";"94,14";"93,74";"90,16";"90,25";"93,06";"90,34";"92,48";"88,07";"89,15";"102,35";"76,17";"30,63";"90,77";"87,69";"55,59";"2,47";"94,05";"51,41";"71,99"
"23 Ceará";"108,63";"95,74";"100,51";"100,85";"98,03";"93,23";"104,79";"0,20";"99,17";"94,53";"100,42";"115,15";"68,80";"27,60";"98,96";"98,74";"58,58";"2,89";"97,96";"56,15";"73,09"
"24 Rio Grande do Norte";"109,15";"86,11";"92,49";"89,58";"86,89";"85,26";"93,86";"0,12";"90,89";"84,59";"88,80";"113,05";"64,12";"30,43";"88,26";"87,01";"52,88";"3,07";"91,81";"45,82";"66,86"
"25 Paraíba";"112,35";"89,81";"96,81";"100,04";"97,61";"93,34";"108,24";"0,58";"91,02";"82,26";"99,85";"114,64";"60,95";"34,19";"98,36";"88,82";"53,19";"3,65";"96,25";"55,80";"71,43"
"26 Pernambuco";"105,68";"94,63";"99,11";"103,47";"96,17";"93,30";"101,06";"0,42";"92,91";"93,10";"93,24";"120,77";"65,42";"30,85";"97,32";"85,27";"60,89";"6,49";"99,43";"51,89";"71,80"
"27 Alagoas";"112,47";"84,87";"93,67";"95,50";"91,24";"85,19";"97,53";"0,35";"86,61";"81,48";"81,79";"110,72";"58,38";"26,91";"92,08";"80,10";"55,83";"3,44";"93,56";"54,32";"67,30"
"28 Sergipe";"96,61";"98,91";"96,55";"100,05";"98,97";"97,45";"99,41";"0,06";"103,51";"101,89";"104,98";"111,44";"79,87";"42,14";"99,40";"105,33";"60,12";"0,64";"99,12";"60,43";"74,76"
"29 Bahia";"101,39";"85,93";"95,22";"90,64";"84,18";"89,21";"96,40";"92,41";"90,54";"89,90";"90,55";"109,17";"68,48";"36,87";"91,33";"93,16";"56,87";"4,74";"95,27";"46,00";"72,29"
"31 Minas Gerais";"104,06";"99,12";"105,89";"104,11";"102,21";"104,69";"103,24";"99,90";"105,00";"99,09";"98,98";"108,25";"83,49";"39,15";"103,23";"99,97";"51,38";"2,49";"105,90";"58,57";"80,04"
"32 Espírito Santo";"104,68";"97,26";"99,71";"107,36";"97,27";"98,41";"100,22";"0,56";"97,69";"92,33";"92,75";"106,19";"84,89";"39,84";"98,02";"78,21";"50,18";"2,34";"99,59";"55,13";"72,30"
"33 Rio de Janeiro";"106,95";"90,89";"98,16";"96,57";"92,30";"85,26";"99,95";"1,04";"85,76";"83,17";"81,43";"108,16";"67,04";"34,03";"92,73";"80,13";"39,35";"1,25";"95,51";"58,90";"68,11"
"35 São Paulo";"103,65";"97,51";"102,17";"104,37";"97,23";"95,81";"98,95";"20,45";"96,22";"100,95";"97,18";"103,37";"75,71";"37,63";"100,16";"92,97";"47,48";"2,41";"99,16";"56,22";"73,37"
"41 Paraná";"110,00";"98,68";"105,47";"104,45";"101,94";"103,42";"104,65";"81,72";"102,37";"97,78";"92,08";"110,21";"77,16";"40,20";"103,55";"93,18";"44,02";"0,98";"105,08";"51,36";"77,59"
"42 Santa Catarina";"102,22";"96,26";"101,17";"104,61";"97,18";"99,42";"97,78";"28,83";"98,33";"101,53";"91,23";"104,61";"71,69";"35,84";"98,23";"88,06";"45,06";"1,55";"98,33";"56,56";"72,94"
"43 Rio Grande do Sul";"110,88";"92,17";"103,74";"102,56";"101,01";"98,36";"100,28";"61,58";"90,08";"87,40";"78,72";"105,65";"75,29";"37,03";"102,15";"82,25";"44,36";"1,63";"102,50";"52,83";"73,47"
"50 Mato Grosso do Sul";"113,25";"104,10";"113,65";"113,30";"110,67";"111,82";"118,01";"107,12";"108,02";"101,50";"104,15";"113,91";"44,68";"35,91";"112,52";"102,53";"45,72";"2,50";"111,36";"50,94";"81,81"
"51 Mato Grosso";"106,72";"94,02";"99,55";"99,16";"95,84";"93,58";"101,20";"99,79";"89,96";"91,53";"95,43";"107,76";"59,20";"30,52";"98,24";"94,44";"56,22";"3,24";"101,28";"51,73";"75,04"
"52 Goiás";"116,43";"102,48";"106,21";"107,85";"105,57";"101,42";"107,69";"103,59";"95,52";"94,73";"96,64";"117,77";"69,95";"32,50";"106,66";"90,90";"47,16";"3,26";"104,17";"53,94";"79,36"
"53 Distrito Federal";"133,19";"103,12";"111,56";"108,90";"102,86";"101,52";"112,17";"87,56";"107,22";"104,24";"108,50";"105,23";"103,87";"44,44";"106,86";"99,34";"76,57";"3,40";"105,22";"68,58";"85,83"
"Total";"107,42";"93,52";"99,70";"100,56";"95,89";"93,57";"100,71";"51,50";"93,11";"92,35";"92,92";"107,46";"68,87";"34,19";"97,85";"90,96";"50,73";"2,80";"98,11";"53,87";"73,29"
