"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"110,07";"105,84";"103,08";"105,68";"106,10";"105,72";"103,92";"108,09";"103,17";"67,33";"91,44";"95,18";"92,75";"146,88";"112,73";"112,79";"105,82";"3,04";"95,32";"61,31";"8,86";"103,86";"166,48";"98,18"
"12 Acre";"104,59";"32,66";"66,43";"67,74";"65,21";"64,83";"60,90";"75,44";"58,78";"11,52";"47,00";"47,70";"62,17";"99,20";"61,61";"59,30";"65,37";"3,45";"60,27";"31,23";"1,94";"68,63";"108,74";"59,29"
"13 Amazonas";"120,39";"98,95";"83,26";"87,91";"90,05";"89,71";"78,30";"98,86";"92,46";"44,12";"76,96";"80,09";"80,87";"114,36";"84,51";"84,84";"89,79";"3,28";"81,23";"49,11";"7,00";"86,85";"92,66";"77,14"
"14 Roraima";"103,97";"73,20";"86,68";"86,14";"87,42";"86,70";"81,12";"89,54";"86,89";"52,93";"81,42";"77,98";"81,94";"110,16";"89,67";"89,83";"87,06";"3,56";"82,79";"42,07";"7,43";"90,23";"153,61";"82,30"
"15 Pará";"114,80";"94,09";"82,24";"83,38";"83,71";"83,20";"70,33";"84,36";"70,42";"24,11";"67,82";"68,01";"69,14";"115,73";"65,35";"57,71";"83,29";"2,34";"68,69";"34,30";"3,78";"79,32";"124,25";"71,71"
"16 Amapá";"118,80";"91,56";"77,35";"81,94";"78,21";"78,05";"67,78";"80,66";"71,06";"38,02";"65,88";"64,20";"73,10";"113,19";"84,86";"80,98";"78,15";"2,91";"68,12";"44,41";"2,55";"80,63";"148,15";"76,11"
"17 Tocantins";"103,00";"84,28";"91,90";"93,73";"94,40";"93,92";"90,64";"90,51";"86,67";"54,73";"83,44";"81,74";"80,24";"105,54";"89,43";"82,22";"94,01";"1,60";"88,04";"37,08";"5,14";"93,75";"161,88";"85,09"
"21 Maranhão";"108,16";"93,94";"87,76";"88,30";"90,09";"89,15";"81,40";"93,42";"88,49";"43,49";"73,78";"74,76";"80,84";"123,86";"89,25";"87,39";"89,42";"3,57";"79,51";"49,47";"8,07";"86,75";"156,79";"83,27"
"22 Piauí";"96,50";"89,25";"82,24";"84,53";"82,92";"82,53";"81,81";"81,86";"76,49";"52,87";"77,28";"77,57";"74,50";"93,10";"73,51";"61,99";"82,79";"1,59";"76,27";"34,02";"5,14";"82,60";"144,10";"76,06"
"23 Ceará";"107,40";"86,15";"97,49";"99,66";"99,59";"98,92";"98,37";"103,92";"0,23";"57,84";"96,24";"95,90";"100,69";"140,69";"128,34";"127,95";"99,22";"2,20";"96,67";"60,69";"9,81";"99,71";"210,19";"96,57"
"24 Rio Grande do Norte";"108,15";"89,47";"88,24";"91,44";"89,93";"89,42";"85,67";"95,63";"0,30";"41,17";"83,08";"85,00";"86,06";"110,26";"91,11";"91,87";"89,94";"3,51";"82,78";"50,92";"9,10";"90,24";"174,16";"82,44"
"25 Paraíba";"111,91";"91,56";"92,47";"92,23";"93,49";"93,18";"89,96";"100,40";"0,53";"42,16";"82,77";"79,10";"89,11";"120,35";"86,96";"77,44";"93,34";"2,12";"83,15";"37,91";"7,76";"91,82";"189,84";"83,53"
"26 Pernambuco";"108,55";"79,29";"97,19";"98,17";"101,80";"98,44";"94,58";"101,68";"0,34";"54,97";"88,23";"90,88";"89,28";"108,46";"92,83";"91,13";"98,57";"3,24";"85,51";"60,46";"16,04";"98,08";"177,25";"86,44"
"27 Alagoas";"108,03";"86,60";"85,96";"93,75";"91,65";"90,23";"87,82";"93,32";"0,40";"52,93";"84,61";"76,94";"85,35";"113,15";"90,64";"90,20";"90,43";"4,20";"86,02";"51,12";"9,26";"92,95";"194,64";"84,08"
"28 Sergipe";"99,77";"125,39";"94,90";"92,52";"94,41";"94,02";"93,24";"94,25";"0,10";"60,08";"93,31";"92,24";"91,95";"94,64";"81,80";"77,26";"94,39";"1,65";"91,42";"50,44";"6,70";"94,36";"187,32";"86,11"
"29 Bahia";"101,28";"79,02";"86,41";"91,26";"92,41";"91,79";"87,91";"93,87";"85,72";"61,83";"84,33";"85,92";"85,26";"114,85";"91,52";"88,80";"92,11";"2,92";"87,57";"49,88";"11,31";"91,16";"143,72";"83,78"
"31 Minas Gerais";"100,85";"88,03";"98,57";"99,62";"99,04";"98,75";"97,91";"96,51";"85,33";"66,23";"95,66";"93,64";"90,38";"109,22";"87,72";"78,40";"99,06";"1,70";"91,76";"33,61";"7,49";"98,98";"187,30";"90,21"
"32 Espírito Santo";"105,52";"89,64";"98,42";"101,42";"101,41";"99,96";"99,61";"101,25";"0,44";"82,99";"94,58";"93,34";"91,67";"109,44";"97,63";"98,45";"101,02";"2,18";"91,97";"53,36";"15,66";"100,43";"175,99";"90,98"
"33 Rio de Janeiro";"113,30";"84,23";"93,47";"98,59";"94,87";"94,32";"88,74";"100,89";"1,01";"61,25";"84,83";"85,01";"83,13";"112,48";"96,45";"96,72";"94,62";"3,29";"82,42";"39,52";"7,36";"94,85";"157,68";"84,08"
"35 São Paulo";"103,46";"91,83";"93,85";"97,36";"99,58";"95,46";"100,63";"95,73";"19,56";"67,84";"91,50";"94,83";"88,91";"105,02";"95,89";"98,07";"96,84";"0,90";"89,23";"42,80";"12,38";"98,59";"161,98";"88,20"
"41 Paraná";"107,97";"76,40";"98,68";"101,35";"99,40";"99,07";"99,72";"98,76";"75,36";"61,57";"94,84";"93,21";"83,25";"113,35";"93,09";"88,21";"99,55";"2,31";"85,63";"36,77";"4,77";"98,95";"142,89";"86,95"
"42 Santa Catarina";"107,93";"92,38";"99,89";"103,38";"100,38";"98,39";"100,22";"97,17";"29,07";"78,23";"98,69";"101,36";"88,40";"112,20";"93,38";"93,16";"99,42";"2,37";"91,78";"41,63";"11,68";"100,61";"176,04";"91,81"
"43 Rio Grande do Sul";"105,10";"81,04";"93,79";"97,94";"95,99";"94,81";"94,39";"95,42";"55,11";"63,89";"84,70";"85,26";"80,21";"107,74";"90,12";"81,82";"95,54";"3,28";"80,37";"27,97";"5,02";"96,88";"158,45";"84,15"
"50 Mato Grosso do Sul";"129,71";"106,89";"127,91";"130,44";"129,11";"128,18";"125,87";"130,10";"115,39";"76,16";"120,54";"115,98";"112,54";"143,76";"115,08";"103,64";"129,67";"2,85";"113,56";"52,52";"11,54";"125,90";"166,83";"110,11"
"51 Mato Grosso";"111,78";"104,25";"97,76";"100,34";"103,23";"101,47";"95,50";"102,47";"108,56";"58,67";"90,50";"92,30";"88,58";"120,66";"100,71";"99,51";"101,63";"2,34";"88,14";"54,56";"9,48";"102,37";"153,41";"92,61"
"52 Goiás";"115,49";"78,40";"96,28";"97,74";"94,71";"93,88";"93,13";"97,65";"91,71";"69,18";"87,96";"87,66";"87,60";"122,14";"92,25";"85,99";"94,59";"3,10";"85,54";"29,77";"6,42";"93,96";"150,90";"86,63"
"53 Distrito Federal";"113,52";"126,20";"91,84";"98,06";"94,44";"92,60";"102,41";"94,34";"90,51";"82,97";"91,81";"87,08";"82,85";"104,91";"97,29";"93,36";"95,24";"3,14";"87,27";"65,42";"19,12";"98,57";"132,14";"89,33"
"Total";"107,28";"88,54";"93,44";"96,36";"96,42";"94,85";"93,45";"96,76";"46,86";"60,13";"87,95";"88,55";"86,31";"112,80";"92,88";"90,19";"95,48";"2,41";"86,36";"43,50";"9,34";"95,50";"160,09";"86,31"
