"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"110,77";"104,78";"103,95";"104,02";"106,35";"104,54";"104,68";"105,44";"106,06";"116,26";"97,84";"92,16";"97,24";"109,00";"94,61";"94,63";"104,63";"95,82";"73,92";"64,65";"103,36";"229,39";"111,27"
"12 Acre";"105,90";"69,63";"82,50";"88,64";"82,62";"81,24";"72,48";"82,74";"66,67";"73,22";"59,39";"57,90";"57,94";"84,21";"51,69";"49,30";"81,30";"62,70";"17,13";"12,08";"83,71";"158,09";"75,54"
"13 Amazonas";"110,79";"101,09";"88,88";"94,91";"95,21";"94,61";"84,54";"104,80";"92,52";"97,74";"79,07";"80,67";"82,98";"95,42";"78,17";"77,43";"94,65";"78,68";"51,92";"49,29";"93,31";"175,09";"94,95"
"14 Roraima";"110,55";"74,28";"94,18";"95,34";"97,26";"96,71";"89,86";"112,28";"93,64";"98,21";"90,61";"88,63";"99,15";"108,45";"92,42";"92,53";"96,87";"88,27";"52,24";"43,67";"97,62";"251,39";"105,27"
"15 Pará";"94,87";"81,63";"72,51";"76,55";"73,63";"73,13";"60,36";"72,09";"57,71";"73,83";"61,61";"61,71";"58,78";"71,92";"45,78";"37,78";"73,15";"60,52";"14,44";"9,71";"72,65";"134,96";"67,51"
"16 Amapá";"121,56";"97,87";"82,33";"88,76";"85,74";"84,65";"69,18";"92,38";"76,80";"88,47";"65,34";"72,77";"73,15";"89,02";"74,65";"71,14";"84,67";"73,06";"53,81";"41,29";"80,87";"193,82";"88,75"
"17 Tocantins";"107,48";"94,35";"97,73";"98,73";"100,00";"98,70";"93,92";"97,22";"83,28";"94,52";"86,36";"83,17";"76,89";"94,70";"61,33";"52,17";"98,76";"83,28";"15,24";"16,55";"96,74";"231,40";"92,37"
"21 Maranhão";"103,64";"93,20";"90,71";"92,53";"92,09";"91,67";"84,05";"100,02";"87,32";"91,82";"76,56";"77,06";"77,12";"90,47";"74,36";"72,06";"91,80";"79,95";"47,52";"40,72";"90,15";"220,34";"94,40"
"22 Piauí";"86,27";"81,03";"85,48";"87,43";"82,37";"82,04";"82,38";"80,92";"74,20";"87,08";"78,49";"76,34";"61,01";"81,22";"62,91";"48,23";"82,32";"75,27";"19,58";"15,05";"85,15";"193,29";"80,68"
"23 Ceará";"114,62";"96,59";"107,60";"110,05";"108,66";"106,69";"106,34";"113,68";"0,36";"102,26";"102,20";"101,32";"105,14";"110,83";"93,98";"94,42";"106,80";"97,43";"74,50";"57,40";"106,55";"228,68";"107,71"
"24 Rio Grande do Norte";"105,90";"94,42";"89,86";"95,23";"91,01";"90,58";"89,02";"97,64";"0,38";"87,97";"84,08";"86,11";"82,64";"94,98";"79,89";"79,93";"90,80";"83,25";"55,24";"41,42";"95,51";"162,76";"89,17"
"25 Paraíba";"105,73";"87,11";"92,51";"94,18";"95,19";"93,55";"92,05";"96,12";"0,58";"83,36";"81,12";"77,87";"75,59";"93,67";"64,46";"57,99";"93,65";"73,19";"32,21";"29,79";"90,80";"189,23";"86,34"
"26 Pernambuco";"110,06";"87,25";"100,78";"102,53";"104,38";"103,59";"101,07";"109,29";"0,50";"96,59";"91,60";"93,92";"97,16";"97,81";"87,36";"85,85";"103,69";"93,27";"66,24";"59,77";"102,17";"213,50";"101,09"
"27 Alagoas";"102,18";"93,04";"90,10";"95,30";"92,53";"91,40";"88,29";"94,25";"0,51";"98,05";"84,17";"75,64";"80,99";"98,67";"81,68";"81,19";"91,59";"87,36";"45,23";"41,10";"95,89";"206,82";"92,74"
"28 Sergipe";"105,80";"110,58";"92,63";"92,95";"94,09";"93,93";"92,94";"93,69";"0,36";"95,57";"88,72";"86,21";"86,56";"91,99";"80,95";"74,59";"94,07";"86,71";"50,51";"39,36";"92,44";"170,77";"91,00"
"29 Bahia";"102,89";"87,18";"88,36";"93,76";"93,42";"92,98";"90,24";"95,42";"83,29";"94,42";"82,60";"84,20";"84,20";"90,18";"78,54";"73,66";"94,20";"84,26";"41,62";"40,12";"93,21";"186,98";"93,06"
"31 Minas Gerais";"102,41";"88,92";"101,89";"103,38";"100,98";"100,70";"100,89";"97,12";"91,00";"100,35";"94,11";"92,73";"84,83";"100,11";"71,87";"66,03";"101,00";"91,62";"29,85";"35,56";"99,15";"260,67";"100,33"
"32 Espírito Santo";"102,26";"94,10";"98,00";"99,66";"101,12";"99,62";"99,93";"99,39";"0,39";"94,01";"94,17";"91,38";"89,37";"99,04";"87,48";"85,88";"100,23";"92,15";"56,78";"59,81";"98,74";"208,36";"98,39"
"33 Rio de Janeiro";"115,06";"87,66";"98,91";"104,08";"103,85";"99,31";"94,10";"107,03";"0,51";"99,65";"91,70";"90,20";"87,69";"105,42";"89,41";"90,55";"99,72";"83,78";"46,37";"54,41";"100,98";"176,96";"96,14"
"35 São Paulo";"102,20";"92,51";"97,00";"98,62";"100,68";"98,36";"99,93";"99,68";"19,70";"102,42";"92,71";"94,42";"90,27";"97,91";"92,43";"94,64";"99,76";"91,84";"59,91";"61,09";"96,25";"192,49";"98,63"
"41 Paraná";"105,66";"90,97";"99,75";"102,77";"101,88";"101,26";"101,22";"97,39";"76,99";"105,64";"98,23";"91,27";"83,08";"99,44";"78,91";"74,68";"101,61";"85,13";"29,54";"37,65";"98,87";"183,57";"96,41"
"42 Santa Catarina";"110,14";"99,28";"107,21";"108,57";"106,00";"104,63";"106,09";"102,43";"28,02";"103,16";"99,89";"101,32";"83,35";"103,42";"83,72";"80,70";"105,55";"92,37";"43,30";"49,21";"104,44";"198,50";"100,69"
"43 Rio Grande do Sul";"103,74";"82,65";"90,85";"95,57";"91,92";"91,28";"90,52";"89,20";"55,61";"96,25";"81,50";"82,05";"74,75";"87,81";"69,36";"59,93";"91,77";"78,56";"25,94";"24,78";"91,79";"194,61";"87,69"
"50 Mato Grosso do Sul";"129,60";"115,86";"117,69";"120,46";"118,97";"117,87";"117,25";"120,36";"108,81";"112,53";"111,02";"106,37";"100,05";"112,53";"80,03";"70,74";"118,36";"103,33";"51,22";"44,57";"116,68";"201,75";"113,07"
"51 Mato Grosso";"109,26";"100,77";"99,35";"102,94";"102,05";"101,73";"97,53";"102,81";"94,98";"99,49";"89,78";"91,47";"86,69";"98,71";"80,55";"76,73";"101,82";"90,07";"52,95";"41,69";"100,81";"193,42";"100,32"
"52 Goiás";"105,30";"82,63";"96,99";"96,73";"97,66";"94,87";"89,88";"95,88";"84,80";"90,65";"85,50";"84,25";"78,32";"94,83";"68,14";"63,24";"95,43";"82,26";"25,36";"35,39";"92,00";"219,53";"93,55"
"53 Distrito Federal";"78,27";"96,65";"65,45";"70,05";"67,49";"66,43";"69,91";"74,92";"62,37";"74,69";"67,91";"58,93";"69,33";"67,58";"65,43";"66,33";"67,73";"60,44";"62,84";"53,29";"64,46";"105,84";"71,55"
"Total";"105,08";"90,93";"95,35";"98,19";"97,74";"96,30";"94,23";"98,29";"46,31";"97,07";"88,35";"87,85";"84,52";"96,07";"79,94";"77,37";"96,90";"85,78";"45,57";"44,97";"95,49";"196,58";"95,07"
