"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";"Tetravalente (DTP/Hib) (TETRA)";"Ignorado";" Total"
"11 Rondônia";"104,90";"99,55";"104,70";"105,46";"119,63";"103,31";"104,22";"105,44";"114,05";"84,04";"100,89";"109,15";"73,56";"109,79";"94,32";"94,97";"103,52";"2,55";"76,61";"67,24";"59,53";"10,14";"23,71";"63,77"
"12 Acre";"99,23";"88,86";"76,81";"78,69";"81,55";"74,92";"84,98";"71,27";"64,33";"60,42";"58,13";"73,01";"58,75";"75,71";"64,20";"64,45";"75,02";"3,90";"60,11";"10,05";"7,84";"6,02";"18,77";"46,91"
"13 Amazonas";"95,87";"85,80";"75,15";"82,77";"106,98";"82,35";"88,36";"76,24";"75,83";"68,07";"79,58";"88,89";"68,19";"83,56";"75,60";"75,80";"82,42";"2,54";"46,95";"36,65";"42,85";"3,13";"16,25";"48,27"
"14 Roraima";"107,95";"79,97";"86,72";"97,78";"92,39";"91,68";"100,64";"88,45";"87,95";"72,93";"86,85";"114,81";"87,45";"90,77";"83,50";"83,64";"91,68";"2,95";"86,44";"55,85";"50,22";"7,66";"21,50";"57,41"
"15 Pará";"81,62";"55,28";"69,33";"72,49";"76,33";"67,08";"75,72";"63,15";"59,57";"55,85";"59,71";"74,02";"43,22";"69,61";"62,34";"62,39";"67,08";"2,58";"49,08";"14,19";"13,72";"5,53";"17,82";"41,43"
"16 Amapá";"113,86";"86,08";"95,33";"96,36";"99,65";"92,84";"103,85";"47,59";"91,49";"87,09";"74,92";"90,67";"29,41";"97,36";"85,95";"86,08";"92,84";"4,19";"66,50";"55,32";"52,23";"3,19";"23,18";"56,62"
"17 Tocantins";"99,23";"77,44";"91,00";"92,43";"106,61";"88,14";"97,31";"84,77";"77,26";"75,63";"84,19";"109,59";"89,23";"91,89";"88,28";"88,32";"88,14";"2,28";"69,89";"11,52";"19,23";"5,49";"31,04";"60,94"
"21 Maranhão";"90,11";"71,30";"74,24";"76,51";"87,50";"73,12";"80,74";"69,43";"68,62";"56,54";"67,43";"77,11";"56,96";"80,01";"47,58";"51,68";"73,31";"2,67";"46,38";"29,13";"28,32";"6,19";"16,78";"43,38"
"22 Piauí";"83,90";"68,93";"78,54";"79,81";"88,08";"78,98";"82,49";"70,69";"71,72";"60,31";"75,44";"93,42";"66,81";"81,48";"60,91";"65,66";"79,16";"2,14";"63,27";"18,60";"16,40";"4,98";"18,62";"46,94"
"23 Ceará";"108,82";"96,84";"112,01";"115,99";"125,04";"111,47";"119,75";"107,89";"0,44";"94,11";"112,13";"117,20";"88,34";"119,76";"88,70";"91,06";"111,66";"2,10";"80,56";"70,28";"59,12";"4,77";"14,04";"56,44"
"24 Rio Grande do Norte";"89,26";"72,08";"76,75";"79,53";"83,49";"76,32";"84,42";"70,25";"0,41";"63,17";"73,17";"88,25";"61,27";"96,05";"50,44";"54,28";"76,37";"3,93";"62,53";"34,49";"30,41";"5,87";"11,97";"42,23"
"25 Paraíba";"97,27";"75,29";"88,90";"89,19";"97,01";"87,54";"93,52";"85,46";"0,78";"74,95";"77,02";"90,47";"67,91";"96,59";"56,66";"61,22";"87,67";"1,83";"65,37";"31,06";"28,28";"5,78";"16,09";"50,10"
"26 Pernambuco";"98,90";"84,72";"93,79";"96,15";"103,40";"94,29";"100,13";"90,38";"0,51";"76,36";"90,72";"103,12";"71,55";"112,65";"68,22";"70,12";"94,43";"3,24";"78,67";"53,31";"49,22";"6,92";"15,37";"51,43"
