"Unidade da Federação";"BCG";"Hepatite B  em crianças até 30 dias";"Rotavírus Humano";"Meningococo C";"Hepatite B";"Penta";"Pneumocócica";"Poliomielite";"Poliomielite 4 anos";"Febre Amarela";"Hepatite A";"Pneumocócica(1º ref)";"Meningococo C (1º ref)";"Poliomielite(1º ref)";"Tríplice Viral  D1";"Tríplice Viral  D2";"Tetra Viral(SRC+VZ)";"DTP REF (4 e 6 anos)";"Tríplice Bacteriana(DTP)(1º ref)";"Dupla adulto e tríplice acelular gestante";"dTpa gestante";" Total"
"11 Rondônia";"93,61";"91,54";"96,62";"99,65";"99,94";"99,94";"103,21";"101,89";"59,28";"89,69";"82,06";"88,09";"89,63";"74,30";"101,65";"78,87";"53,43";"62,27";"72,16";"46,15";"59,28";"82,92"
"12 Acre";"100,93";"94,50";"82,64";"75,96";"70,66";"70,66";"89,64";"78,34";"37,61";"66,74";"76,05";"73,34";"67,39";"58,27";"83,11";"71,92";"59,06";"53,12";"63,25";"41,42";"56,56";"69,84"
"13 Amazonas";"96,97";"90,42";"80,25";"79,16";"79,36";"79,36";"90,04";"79,25";"56,36";"69,88";"78,16";"78,69";"76,48";"66,89";"89,81";"78,00";"58,52";"65,82";"69,56";"52,72";"65,79";"75,22"
"14 Roraima";"135,55";"131,06";"92,19";"82,15";"83,52";"83,52";"93,27";"79,79";"63,95";"72,72";"83,38";"78,03";"80,58";"82,78";"99,32";"88,27";"71,34";"70,52";"77,10";"39,52";"61,47";"83,50"
"15 Pará";"87,65";"78,03";"71,64";"65,18";"58,04";"58,04";"78,83";"69,09";"27,23";"63,11";"67,66";"64,61";"59,05";"51,29";"77,30";"59,97";"48,29";"44,06";"53,94";"41,19";"52,72";"60,48"
"16 Amapá";"102,95";"91,72";"76,54";"68,30";"63,09";"63,09";"78,47";"68,74";"23,17";"65,56";"68,19";"64,06";"62,16";"39,14";"77,10";"63,88";"51,17";"56,10";"53,83";"45,90";"53,72";"63,76"
"17 Tocantins";"104,06";"100,67";"93,40";"79,72";"90,04";"90,04";"100,71";"91,68";"62,70";"81,08";"84,08";"89,67";"73,15";"74,95";"91,21";"78,86";"65,92";"65,28";"74,54";"45,80";"70,06";"81,12"
"21 Maranhão";"105,11";"95,23";"82,89";"78,18";"80,64";"80,63";"89,43";"80,61";"36,57";"72,36";"70,62";"73,03";"70,20";"59,03";"84,04";"56,88";"15,44";"45,53";"63,02";"42,30";"59,80";"68,11"
"22 Piauí";"97,90";"91,40";"85,27";"84,20";"85,95";"85,95";"88,81";"83,71";"48,33";"76,92";"76,38";"80,03";"78,35";"57,59";"87,79";"69,17";"2,94";"57,89";"70,08";"49,56";"65,72";"72,86"
"23 Ceará";"104,89";"96,84";"116,54";"115,10";"107,78";"107,76";"120,59";"111,08";"68,11";"1,12";"93,68";"99,00";"100,60";"87,36";"111,46";"87,14";"11,75";"72,83";"84,39";"72,78";"79,86";"88,44"
"24 Rio Grande do Norte";"107,70";"101,38";"86,00";"84,30";"89,54";"89,42";"94,52";"90,32";"43,10";"0,80";"77,22";"80,43";"74,47";"64,76";"88,70";"64,49";"13,52";"52,13";"65,63";"44,94";"58,08";"70,92"
"25 Paraíba";"105,35";"98,96";"96,07";"94,91";"91,61";"91,60";"100,71";"92,26";"55,53";"1,07";"83,19";"78,40";"76,04";"70,48";"96,73";"72,18";"8,61";"57,88";"66,37";"49,43";"62,15";"74,48"
"26 Pernambuco";"106,53";"100,25";"95,24";"94,30";"94,66";"94,65";"101,48";"94,72";"59,01";"1,12";"82,55";"86,12";"85,03";"75,59";"104,72";"69,54";"11,29";"65,60";"76,51";"53,39";"61,47";"76,95"
"27 Alagoas";"112,92";"97,41";"98,33";"100,65";"98,51";"98,44";"104,33";"96,13";"62,76";"3,11";"89,19";"91,97";"91,84";"84,30";"107,18";"72,09";"19,86";"66,56";"82,56";"62,33";"67,32";"81,19"
"28 Sergipe";"106,33";"108,43";"93,09";"89,86";"91,47";"91,47";"96,94";"89,74";"63,03";"1,19";"81,98";"83,00";"81,46";"71,17";"95,47";"71,93";"1,23";"65,91";"73,02";"44,37";"57,52";"75,21"
"29 Bahia";"84,27";"76,07";"80,01";"78,30";"77,25";"77,24";"84,20";"78,25";"43,23";"69,14";"73,53";"71,21";"73,11";"58,11";"82,30";"65,06";"5,46";"50,65";"64,65";"32,10";"50,61";"65,37"
"31 Minas Gerais";"100,85";"91,22";"99,96";"98,00";"98,05";"98,05";"102,17";"97,75";"75,52";"94,19";"91,46";"90,86";"89,99";"82,12";"97,52";"85,03";"9,73";"80,49";"85,89";"43,04";"68,47";"84,74"
"32 Espírito Santo";"99,98";"91,78";"93,64";"89,55";"89,84";"89,83";"96,32";"90,95";"76,98";"73,87";"88,57";"88,89";"81,46";"77,56";"95,47";"79,50";"7,34";"80,39";"78,76";"56,10";"73,89";"80,98"
"33 Rio de Janeiro";"105,72";"81,92";"89,71";"87,86";"88,20";"88,16";"94,12";"87,48";"59,07";"49,26";"81,56";"75,20";"70,70";"67,53";"99,66";"70,18";"8,88";"60,67";"63,94";"41,67";"55,50";"72,67"
"35 São Paulo";"101,28";"90,29";"92,58";"88,89";"91,73";"91,57";"95,95";"92,55";"75,63";"60,18";"83,59";"81,70";"80,98";"76,45";"91,46";"81,84";"37,16";"75,60";"75,54";"39,52";"52,37";"78,80"
"41 Paraná";"97,93";"66,45";"92,42";"91,45";"90,90";"90,90";"94,48";"90,88";"82,93";"75,96";"88,55";"88,07";"87,68";"78,69";"89,78";"86,23";"63,22";"92,70";"74,54";"42,67";"66,66";"82,41"
"42 Santa Catarina";"92,72";"81,47";"95,11";"93,13";"94,28";"94,28";"93,10";"94,59";"89,80";"59,63";"87,16";"86,62";"86,21";"82,26";"92,12";"83,42";"68,81";"93,13";"84,58";"53,00";"68,94";"84,46"
"43 Rio Grande do Sul";"90,98";"76,03";"91,21";"82,56";"84,97";"84,97";"91,68";"85,70";"77,40";"58,65";"83,78";"82,69";"76,79";"76,74";"88,72";"83,11";"68,63";"76,94";"75,22";"46,18";"61,18";"78,27"
"50 Mato Grosso do Sul";"129,56";"125,29";"97,01";"94,83";"94,93";"94,80";"101,95";"95,95";"98,04";"90,15";"91,90";"95,78";"89,04";"101,73";"104,53";"97,62";"78,83";"88,05";"87,32";"60,29";"66,88";"94,40"
"51 Mato Grosso";"106,14";"97,66";"91,86";"89,11";"89,17";"89,17";"97,50";"90,27";"64,14";"84,65";"83,01";"83,88";"80,27";"70,14";"89,77";"79,53";"60,46";"72,00";"72,74";"46,78";"59,30";"80,78"
"52 Goiás";"93,58";"79,13";"88,42";"87,63";"83,80";"83,77";"91,75";"85,54";"63,32";"78,68";"81,55";"82,36";"82,50";"72,40";"87,81";"76,76";"59,51";"67,39";"69,87";"36,90";"61,28";"76,79"
"53 Distrito Federal";"89,50";"111,05";"88,30";"88,69";"86,26";"86,26";"91,45";"86,03";"73,15";"83,59";"85,21";"79,40";"83,37";"70,93";"86,32";"87,05";"82,12";"75,13";"78,01";"53,31";"61,54";"82,22"
"Total";"99,72";"88,40";"91,33";"88,49";"88,53";"88,49";"95,25";"89,54";"63,62";"59,50";"82,69";"81,99";"80,22";"72,83";"92,61";"76,89";"33,26";"68,52";"73,27";"44,99";"60,23";"77,13"
